английский,русский,devour,пожирать
английский,русский,preach what you teach,"проповедуй то, чему учишь"
английский,русский,the sanctuary of ignorance,святилище невежества
английский,русский,you take refuge in the will of God,вы находите прибежище в воле Божьей
английский,русский,absent-minded person,рассеянный человек
английский,русский,vermin,паразиты
английский,русский,perplexed,озадаченный
английский,русский,spawning extreme political,порождая крайние политические
английский,русский,eavesdropping,подслушивание
немецкий,русский,dismal,мрачный
английский,русский,she ducks question,она уклоняется от ответа
английский,русский,to tame it,чтобы приручить его
английский,русский,tentative,пробный
английский,русский,tentative reservations,предварительные бронирования
английский,русский,we often opt for,мы часто выбираем
английский,русский,pejorative,бранное слово
английский,русский,pejorative,уничижительный
английский,русский,let alone,не говоря уже
английский,русский,metonym,метоним
английский,русский,I delight in explaining,Мне нравится объяснять
английский,русский,I delight,Я восхищаюсь
английский,русский,hereditary monarchy,наследственная монархия
английский,русский,hereditary,наследственный
английский,русский,where does power reside?,где находится сила?
английский,русский,he will endure all risks,он выдержит все риски
английский,русский,what is claimed is,"то, что утверждается, является"
английский,русский,does not infringe the patent,не нарушает патент
английский,русский,your presidency is in diapers,ваше президентство в подгузниках
английский,русский,clings,цепляется
английский,русский,unhinged smears,неуравновешенные мазки
английский,русский,fast-forward to,перемотать вперед к
английский,русский,cradle of philosophy,колыбель философии
английский,русский,cradle,колыбель
английский,русский,pomp of life,пышность жизни
английский,русский,adorn his bdy,украсить его тело
английский,русский,appease,утолить
английский,русский,gratify,удовлетворять
английский,русский,delight,восторг
английский,русский,dodgy,хитрый
английский,русский,hiatus,перерыв
английский,русский,elicit,вызывать
английский,русский,too tempered,слишком сдержанный
английский,русский,people from all walks of life,люди из всех слоев общества
английский,русский,footnotes or endnotes,сноски или концевые примечания
английский,русский,relegate,понизить
английский,русский,replenished our friendship,восстановили нашу дружбу
английский,русский,such selfish impulses can be reconciled by aligning that quest for greatness with more selfless aims,"Такие эгоистичные побуждения можно примирить, если объединить стремление к величию с более бескорыстными целями."
английский,русский,reconciled by,примирены
английский,русский,movie reel,кинолента
английский,русский,reel,катушка
английский,русский,spliced together,сращены вместе
английский,русский,hardships,трудности
английский,русский,manning a post,занимать должность
английский,русский,held aloft,поднятый в воздух
английский,русский,complacency,самодовольство
английский,русский,resignation in the down-and-out,отставка в нищете
английский,русский,maintain composure,сохранять самообладание
английский,русский,our creed,наше кредо
английский,русский,tribulations,невзгоды
английский,русский,far-fetched,притянутый за уши
английский,русский,far-fetched,надуманный
английский,русский,was then in full bloom,тогда был в полном расцвете сил
английский,русский,the Cold War was in full swing,Холодная война была в самом разгаре
английский,русский,aching to make,жаждущий сделать
английский,русский,rarely bothering with college parties,редко беспокоюсь о студенческих вечеринках
английский,русский,largely shorn of old friends and bad habits,в значительной степени лишен старых друзей и вредных привычек
английский,русский,dilapidated apartments,ветхие квартиры
английский,русский,monied interests,денежные интересы
английский,русский,they curried the favor of corporations,они заслужили расположение корпораций
английский,русский,dubious,сомнительный
английский,русский,teetered on the edge,балансировал на грани
английский,русский,these halting efforts served a purpose,эти срывы усилий послужили цели
английский,русский,I’d toss out,Я бы выбросил
английский,русский,chaste,целомудренный
английский,русский,how earnest I was then,как я тогда был серьезен
русский,английский,отрывок,excerpt
английский,русский,turmoil,суматоха
английский,русский,improbable,маловероятно
английский,русский,testament,завещание
английский,русский,unflinching,непоколебимый
английский,русский,he delves into,он углубляется в
английский,русский,With eye-opening candor,"С откровенностью, открывающей глаза"
английский,русский,revealing accounts of his often turbulent relationships,откровенные рассказы о его часто бурных отношениях
английский,русский,cherished homeland,заветная родина
английский,русский,precarious,нестабильный
английский,русский,instilled with purpose,привитый с целью
английский,русский,regaining my composure,восстанавливаю самообладание
английский,русский,I resent it,Я возмущен этим
английский,русский,concoction,варево
английский,русский,concoction,небылицы
английский,русский,gazebo,беседка
английский,русский,summon,вызывать
английский,русский,compel,заставлять
английский,русский,tillage,пахание
английский,русский,tillage,обработка почвы
английский,русский,robustness to noise,устойчивость к шуму
английский,русский,alimentation,питание
английский,русский,presuppose,предполагать
английский,русский,unsolicited,незапрошенный
английский,русский,eloped,тайно сбежал
английский,русский,being cheeky,быть нахальным
английский,русский,enjoys advantage,пользуется преимуществом
английский,русский,perseverance,упорство
английский,русский,deadlock,зайти в тупик
английский,русский,deadlock,тупик
английский,русский,disclaimers,отказ от ответственности
английский,русский,evaluates things,оценивает вещи
английский,русский,drastic,радикальный
английский,русский,pedigree,родословная
английский,русский,repudiation,отказ
английский,русский,outlier,выброс
английский,русский,outlier,посторонний
английский,русский,engulfed,охваченный
английский,русский,duped by illusion,обманутый иллюзией
английский,русский,purged,очищенный
английский,русский,by all account,по всем признакам
английский,русский,by all accounts,по всем данным
английский,русский,rant,тирада
английский,русский,shrine,святыня
английский,русский,puzzles me,меня озадачивает
английский,русский,appointed by,назначенный
английский,русский,contentious,спорный
английский,русский,to put up,выставлять
английский,русский,to lay out,выкладывать
английский,русский,fortune of state,состояние государства
английский,русский,Trump turning more ridiculous by the day,Трамп становится все более нелепым с каждым днем
английский,русский,rift,раскол
английский,русский,concise,краткий
английский,русский,mitigate risks,смягчить риски
английский,русский,erasure of history,стирание истории
английский,русский,tertiary education,высшее образование
английский,русский,scolds,ругает
английский,русский,abolish slavery,отменить рабство
английский,русский,disguised,замаскированный
английский,русский,welfare,благосостояние
английский,русский,inhabit,населять
английский,русский,civic,гражданский
английский,русский,suffice to say,достаточно сказать
английский,русский,conceal,скрыть
английский,русский,to spot in other people,заметить в других людях
английский,русский,mundane,земной
английский,русский,calls into question,ставит под вопрос
английский,русский,scents,ароматы
английский,русский,are disposed to say,склонны сказать
английский,русский,hatch,штриховка
английский,русский,hatch,люк
английский,русский,hatch,вылупиться
английский,русский,why you forsaken me,почему ты оставил меня
английский,русский,forsaken,покинутый
английский,русский,roes,икра
английский,русский,captivating,увлекательный
русский,английский,нарочно,on purpose
английский,русский,purge,чистка
английский,русский,reverberation,отражение
английский,русский,bidding,торги
русский,английский,посуда,tableware
русский,английский,посуда,utensil
английский,русский,obliged,обязанный
английский,русский,obliged,обязан
английский,русский,rumination,размышление
английский,русский,treatise,трактат
английский,русский,breadth,ширина
английский,русский,with due reverence,с должным почтением
английский,русский,without sparing themselves some effort,не жалея усилий
английский,русский,mingle,смешивать
английский,русский,indolence,праздность
английский,русский,hypothesis-mongering,выдвижение гипотез
английский,русский,Suffice it to say,Достаточно сказать
английский,русский,splendour,великолепие
английский,русский,enticement,соблазн
английский,русский,articulate,ясно выражать
английский,русский,wavers,колеблется
английский,русский,giddy,испытывающий головокружение
английский,русский,predilection,пристрастие
английский,русский,detour,окольный путь
английский,русский,uncanny symptom,странный симптом
английский,русский,onset,начало
английский,русский,onset,натиск
английский,русский,wearily,устало
английский,русский,sublime temptation,возвышенное искушение
английский,русский,I gave vent,Я дал волю
английский,русский,gild,золотить
английский,русский,gilded,позолоченный
английский,русский,incidental,побочный
английский,русский,likewise,так же
английский,русский,befits,подобает
английский,русский,sensations,ощущения
английский,русский,vacillation,колебание
английский,русский,relapse,рецидив
английский,русский,rip off,грабить
английский,русский,rip off,сдирать
английский,русский,omitted,пропущено
английский,русский,rehearsal,пересказ
английский,русский,rehearsal,перечисление
английский,русский,rehearsal,репетиция
английский,русский,precept,предписание
английский,русский,to coerce,принуждать
английский,русский,vested interest,корыстный интерес
английский,русский,vested,наделенный
английский,русский,abolition,отмена
английский,русский,exalt,превозносить
английский,русский,exalt,возвышать
английский,русский,refute,опровергать
английский,русский,antithetical,антитетический
английский,русский,antithetical,прямо противоположный
английский,русский,tinged,окрашенный
английский,русский,hesitantly,нерешительно
английский,русский,varnish,лак
английский,русский,provided we can keep quiet for long enough,"при условии, что мы сможем молчать достаточно долго"
английский,русский,conjectures,догадки
английский,русский,inquiry,расследование
английский,русский,innate,врожденный
английский,русский,lent an ear,прислушался
английский,русский,as regards,что касается
английский,русский,lineage,родословная
английский,русский,unbidden,незваный
английский,русский,reluctantly,неохотно
английский,русский,And of what concern is it to us philosophers?,"И какое это имеет отношение к нам, философам?"
английский,русский,testimonial,свидетельство
английский,русский,provisional,предварительный
английский,русский,prejudices,предрассудки
английский,русский,furthest,самый дальний
английский,русский,reverberating,гремящий
английский,русский,settle for,соглашаться на
английский,русский,subverts,ниспровергает
английский,русский,posing a question,постановка вопроса
английский,русский,admixture,примесь
английский,русский,enliven,оживлять
английский,русский,genuine,подлинный
английский,русский,this falls short of,это не соответствует
английский,русский,demise,кончина
английский,русский,perverse,извращенный
английский,русский,It clearly merits,Это явно заслуживает
английский,русский,conceived,задуманный
английский,русский,prized,ценится
английский,русский,bane areas,области отравы
английский,русский,contingent on,зависит от
английский,русский,hedgehog,ёжик
английский,русский,drive a wedge,вбить клин
английский,русский,emanating,исходящий
английский,русский,presumes,предполагает
английский,русский,impunity,безнаказанность
английский,русский,detrimental,вредный
английский,русский,vegetation,произрастание
английский,русский,contempt,презрение
английский,русский,heralding,возвещающий
английский,русский,whim,прихоть
английский,русский,condescension,снисходительность
английский,русский,cumin,тмин
английский,русский,ample time,достаточно времени
английский,русский,loaf,буханка
английский,русский,preposterous,нелепый
английский,русский,to resort,прибегать
английский,русский,hoax,фальсификация
английский,русский,food face-off,продовольственное противостояние
английский,русский,buff,любитель
английский,русский,savvy,подкованный
английский,русский,compelling,неотразимый
английский,русский,untenable,несостоятельный
индонезийский,русский,premis,предпосылка
английский,русский,violent temper,вспыльчивый нрав
английский,русский,Unforeseen circumstances,Непредвиденные обстоятельства
английский,русский,the first order of rail wasn't due for delivery until next month.,Первая партия рельс должна была быть доставлена ​​только в следующем месяце.
английский,русский,undermines,подрывает
английский,русский,I resent your saying it,"Я возмущен тем, что ты это говоришь."
английский,русский,attentiveness,внимательность
английский,русский,deficit,дефицит
английский,русский,wreck,крушение
английский,русский,hastily,поспешно
английский,русский,overabundance,переизбыток
английский,русский,adolescence,подростковый возраст
английский,русский,commoners,простолюдины
английский,русский,exercise of physical prowess,проявление физической силы
английский,русский,physical prowess,физическая доблесть
английский,русский,acquainted with,познакомился с
английский,русский,a fruitful correspondence,плодотворная переписка
английский,русский,reciprocate,отвечать взаимностью
английский,русский,the lore,предания
английский,русский,waiving the participation fee,отмена платы за участие
английский,русский,toppled,свергнутый
английский,русский,precludes,исключает
английский,русский,conveyed,передано
английский,русский,pledging,пообещав
английский,русский,subordinated to,подчиненный
английский,русский,resembles,напоминает
английский,русский,bluntly,прямо
английский,русский,gorge,ущелье
английский,русский,amendment,поправка
английский,русский,tenure,пребывание в должности
английский,русский,tenure,срок пребывания
английский,русский,incurred,понесенные
английский,русский,bartender,бармен
английский,русский,embellished,приукрашенный
английский,русский,family lore,семейные предания
английский,русский,rugged,прочный
английский,русский,abolish,отменять
английский,русский,litigate,оспаривать
английский,русский,to gag,заткнуть рот
английский,русский,scathing,уничтожающий
английский,русский,sour over the war,кислый из-за войны
английский,русский,trade barbs,торговля колючками
английский,русский,tussle,драка
русский,английский,заноза,splinter
русский,английский,трущобы,slum
английский,русский,tainted by her,испорченный ею
английский,русский,taint,зараза
русский,английский,оправдаться,exonerate oneself
русский,английский,оправдаться,justify oneself
английский,русский,gasket,прокладка
английский,русский,conflate,объединять
английский,русский,auger,шнек
английский,русский,rip you off,ограбить тебя
английский,русский,bust,банкротство
английский,русский,soar,подниматься ввысь
английский,русский,soar,парить
английский,русский,binge,кутеж
английский,русский,spare time,свободное время
английский,русский,quirky,причудливый
английский,русский,witty,остроумный
английский,русский,gentile,языческий
английский,русский,reclaimed,восстановленный
английский,русский,discourage,отбивать охоту
русский,английский,ил,silt
